,phi,psi,prob
310,-146.99927416666668,-116.99572750000002,1.3164130377547259e-05
311,-146.99927416666668,-110.99581583333334,1.3164130377547259e-05
312,-146.99927416666668,-104.99590416666668,2.6328260755094518e-05
313,-146.99927416666668,-98.9959925,1.3164130377547259e-05
314,-146.99927416666668,-92.99608083333334,1.3164130377547259e-05
315,-146.99927416666668,-86.99616916666668,6.5820651887736295e-06
316,-146.99927416666668,-80.99625750000001,1.3164130377547259e-05
317,-146.99927416666668,-74.99634583333335,1e-12
318,-146.99927416666668,-68.99643416666669,2.6328260755094518e-05
319,-146.99927416666668,-62.99652250000001,7.240271707650992e-05
320,-146.99927416666668,-56.99661083333335,1.974619556632089e-05
321,-146.99927416666668,-50.99669916666668,1.974619556632089e-05
322,-146.99927416666668,-44.99678750000001,4.607445632141541e-05
323,-146.99927416666668,-38.99687583333335,6.58206518877363e-05
324,-146.99927416666668,-32.996964166666686,8.556684745405718e-05
325,-146.99927416666668,-26.997052500000024,5.9238586698962664e-05
326,-146.99927416666668,-20.99714083333336,5.2656521510189036e-05
327,-146.99927416666668,-14.997229166666685,3.949239113264178e-05
328,-146.99927416666668,-8.997317500000008,6.58206518877363e-05
329,-146.99927416666668,-2.997405833333346,6.58206518877363e-05
330,-146.99927416666668,3.0025058333333163,6.58206518877363e-05
331,-146.99927416666668,9.002417499999979,7.240271707650992e-05
332,-146.99927416666668,15.002329166666641,7.240271707650992e-05
333,-146.99927416666668,21.002240833333303,8.556684745405718e-05
334,-146.99927416666668,27.002152499999966,4.607445632141541e-05
335,-146.99927416666668,33.00206416666663,6.58206518877363e-05
336,-146.99927416666668,39.001975833333304,8.556684745405718e-05
337,-146.99927416666668,45.00188749999998,5.2656521510189036e-05
338,-146.99927416666668,51.00179916666664,6.58206518877363e-05
339,-146.99927416666668,57.001710833333306,0.00010531304302037807
340,-146.99927416666668,63.00162249999997,0.00011189510820915171
341,-146.99927416666668,69.00153416666663,0.00019087989047443526
342,-146.99927416666668,75.0014458333333,0.00018429782528566163
343,-146.99927416666668,81.00135749999998,0.00011847717339792533
344,-146.99927416666668,87.00126916666665,0.00011189510820915171
345,-146.99927416666668,93.00118083333331,0.00018429782528566163
346,-146.99927416666668,99.00109249999997,0.0001974619556632089
347,-146.99927416666668,105.00100416666663,0.0002896108683060397
348,-146.99927416666668,111.0009158333333,0.00038834184613764416
349,-146.99927416666668,117.00082749999996,0.0005594755410457585
350,-146.99927416666668,123.00073916666662,0.0007503554315201938
351,-146.99927416666668,129.00065083333328,0.0009543994523721763
352,-146.99927416666668,135.00056249999994,0.0011321152124690642
353,-146.99927416666668,141.0004741666666,0.0017508293402137855
354,-146.99927416666668,147.00038583333327,0.001935127165499447
355,-146.99927416666668,153.00029749999996,0.0018034858617239746
356,-146.99927416666668,159.00020916666665,0.0025209309673003
357,-146.99927416666668,165.0001208333333,0.0016850086883260491
358,-146.99927416666668,171.00003249999997,0.0014809646674740667
359,-146.99927416666668,176.99994416666664,0.0006845347796324574
360,-140.99930583333332,-176.99484416666667,0.0004409983676478332
361,-140.99930583333332,-170.9949325,0.00023695434679585066
362,-140.99930583333332,-164.99502083333334,9.873097783160445e-05
363,-140.99930583333332,-158.99510916666668,9.873097783160445e-05
364,-140.99930583333332,-152.99519750000002,8.556684745405718e-05
365,-140.99930583333332,-146.99528583333333,5.9238586698962664e-05
366,-140.99930583333332,-140.99537416666666,3.291032594386815e-05
367,-140.99930583333332,-134.9954625,1.3164130377547259e-05
368,-140.99930583333332,-128.99555083333334,4.607445632141541e-05
369,-140.99930583333332,-122.99563916666668,3.949239113264178e-05
370,-140.99930583333332,-116.99572750000002,5.9238586698962664e-05
371,-140.99930583333332,-110.99581583333334,9.873097783160445e-05
372,-140.99930583333332,-104.99590416666668,3.291032594386815e-05
373,-140.99930583333332,-98.9959925,3.949239113264178e-05
374,-140.99930583333332,-92.99608083333334,3.291032594386815e-05
375,-140.99930583333332,-86.99616916666668,6.5820651887736295e-06
376,-140.99930583333332,-80.99625750000001,5.2656521510189036e-05
377,-140.99930583333332,-74.99634583333335,4.607445632141541e-05
378,-140.99930583333332,-68.99643416666669,5.2656521510189036e-05
379,-140.99930583333332,-62.99652250000001,0.00010531304302037807
380,-140.99930583333332,-56.99661083333335,9.214891264283081e-05
381,-140.99930583333332,-50.99669916666668,3.949239113264178e-05
382,-140.99930583333332,-44.99678750000001,5.9238586698962664e-05
383,-140.99930583333332,-38.99687583333335,5.2656521510189036e-05
384,-140.99930583333332,-32.996964166666686,3.291032594386815e-05
385,-140.99930583333332,-26.997052500000024,7.898478226528356e-05
386,-140.99930583333332,-20.99714083333336,9.214891264283081e-05
387,-140.99930583333332,-14.997229166666685,9.214891264283081e-05
388,-140.99930583333332,-8.997317500000008,0.00010531304302037807
389,-140.99930583333332,-2.997405833333346,5.9238586698962664e-05
390,-140.99930583333332,3.0025058333333163,9.214891264283081e-05
391,-140.99930583333332,9.002417499999979,0.00012505923858669896
392,-140.99930583333332,15.002329166666641,0.00016455162971934075
393,-140.99930583333332,21.002240833333303,7.898478226528356e-05
394,-140.99930583333332,27.002152499999966,0.00011189510820915171
395,-140.99930583333332,33.00206416666663,8.556684745405718e-05
396,-140.99930583333332,39.001975833333304,0.00018429782528566163
397,-140.99930583333332,45.00188749999998,0.00012505923858669896
398,-140.99930583333332,51.00179916666664,7.898478226528356e-05
399,-140.99930583333332,57.001710833333306,9.873097783160445e-05
400,-140.99930583333332,63.00162249999997,0.00018429782528566163
401,-140.99930583333332,69.00153416666663,0.00015796956453056711
402,-140.99930583333332,75.0014458333333,0.00019087989047443526
403,-140.99930583333332,81.00135749999998,0.0002435364119846243
404,-140.99930583333332,87.00126916666665,0.00011847717339792533
405,-140.99930583333332,93.00118083333331,0.00028302880311726605
406,-140.99930583333332,99.00109249999997,0.0002961929334948133
407,-140.99930583333332,105.00100416666663,0.0005923858669896266
408,-140.99930583333332,111.0009158333333,0.00043441630245905956
409,-140.99930583333332,117.00082749999996,0.0007306092359538729
410,-140.99930583333332,123.00073916666662,0.0014546364067189721
411,-140.99930583333332,129.00065083333328,0.0018298141224790691
412,-140.99930583333332,135.00056249999994,0.0017705755357801064
413,-140.99930583333332,141.0004741666666,0.0025011847717339793
414,-140.99930583333332,147.00038583333327,0.002685482597019641
415,-140.99930583333332,153.00029749999996,0.002672318466642094
416,-140.99930583333332,159.00020916666665,0.0023892896635248277
417,-140.99930583333332,165.0001208333333,0.002488020641356432
418,-140.99930583333332,171.00003249999997,0.0014678005370965194
419,-140.99930583333332,176.99994416666664,0.00081617608340793
420,-134.9993375,-176.99484416666667,0.0005528934758569849
421,-134.9993375,-170.9949325,0.0002040440208519825
422,-134.9993375,-164.99502083333334,0.00012505923858669896
423,-134.9993375,-158.99510916666668,8.556684745405718e-05
424,-134.9993375,-152.99519750000002,9.214891264283081e-05
425,-134.9993375,-146.99528583333333,6.5820651887736295e-06
426,-134.9993375,-140.99537416666666,1.974619556632089e-05
427,-134.9993375,-134.9954625,6.5820651887736295e-06
428,-134.9993375,-128.99555083333334,3.949239113264178e-05
429,-134.9993375,-122.99563916666668,4.607445632141541e-05
430,-134.9993375,-116.99572750000002,6.5820651887736295e-06
431,-134.9993375,-110.99581583333334,1.974619556632089e-05
432,-134.9993375,-104.99590416666668,1.3164130377547259e-05
433,-134.9993375,-98.9959925,6.5820651887736295e-06
434,-134.9993375,-92.99608083333334,1.974619556632089e-05
435,-134.9993375,-86.99616916666668,3.291032594386815e-05
436,-134.9993375,-80.99625750000001,1.974619556632089e-05
437,-134.9993375,-74.99634583333335,5.2656521510189036e-05
438,-134.9993375,-68.99643416666669,4.607445632141541e-05
439,-134.9993375,-62.99652250000001,7.898478226528356e-05
440,-134.9993375,-56.99661083333335,3.949239113264178e-05
441,-134.9993375,-50.99669916666668,5.9238586698962664e-05
442,-134.9993375,-44.99678750000001,4.607445632141541e-05
443,-134.9993375,-38.99687583333335,7.240271707650992e-05
444,-134.9993375,-32.996964166666686,9.214891264283081e-05
445,-134.9993375,-26.997052500000024,0.00010531304302037807
446,-134.9993375,-20.99714083333336,0.0001316413037754726
447,-134.9993375,-14.997229166666685,0.00015796956453056711
448,-134.9993375,-8.997317500000008,0.00023695434679585066
449,-134.9993375,-2.997405833333346,0.00021720815122952978
450,-134.9993375,3.0025058333333163,0.00025011847717339793
451,-134.9993375,9.002417499999979,0.00021062608604075614
452,-134.9993375,15.002329166666641,0.000355431520193776
453,-134.9993375,21.002240833333303,0.00019087989047443526
454,-134.9993375,27.002152499999966,0.00017113369490811436
455,-134.9993375,33.00206416666663,0.00015138749934179348
456,-134.9993375,39.001975833333304,0.00018429782528566163
457,-134.9993375,45.00188749999998,0.00017113369490811436
458,-134.9993375,51.00179916666664,0.00015796956453056711
459,-134.9993375,57.001710833333306,0.0002632826075509452
460,-134.9993375,63.00162249999997,0.00021720815122952978
461,-134.9993375,69.00153416666663,0.00028302880311726605
462,-134.9993375,75.0014458333333,0.00036859565057132326
463,-134.9993375,81.00135749999998,0.0003422673898162287
464,-134.9993375,87.00126916666665,0.00023037228160707705
465,-134.9993375,93.00118083333331,0.0003422673898162287
466,-134.9993375,99.00109249999997,0.00044758043283660683
467,-134.9993375,105.00100416666663,0.0004278342372702859
468,-134.9993375,111.0009158333333,0.0007964298878416092
469,-134.9993375,117.00082749999996,0.00170475488389237
470,-134.9993375,123.00073916666662,0.0018758885788004844
471,-134.9993375,129.00065083333328,0.0029948396608920013
